rank,lane,hero,tier,win_rate,ban_rate,pick_rate,roles
1,,Gloo,SS,54.31,91.75,0.58,Tank
2,,Sora,SS,52.60,86.09,1.12,Fighter Assassin
3,,Freya,SS,51.82,71.32,1.27,Fighter
4,,Marcel,SS,48.47,80.18,0.43,Support
5,,Guinevere,SS,52.02,49.77,1.57,Fighter
6,,Estes,S,54.76,27.30,0.86,Support
7,,Helcurt,S,51.44,42.15,0.79,Assassin
8,,Fredrinn,S,52.84,30.21,1.07,Fighter Tank
9,,Yi Sun-shin,S,50.03,31.93,2.15,Assassin Marksman
10,,Zhuxin,S,53.01,29.98,0.82,Mage
11,,Hanabi,S,53.09,8.05,2.74,Marksman
12,,Floryn,S,54.25,17.48,1.29,Support
13,,Karrie,S,52.00,25.21,1.63,Marksman
14,,Minsitthar,S,52.13,29.26,1.01,Fighter
15,,Hilda,S,52.68,26.27,1.00,Fighter Tank
16,,Zetian,S,51.72,16.73,2.02,Mage
17,,Kaja,S,56.76,7.24,0.44,Support Fighter
18,,Alice,S,51.02,28.62,1.07,Mage Tank
19,,Diggie,S,55.71,12.92,0.25,Support
20,,Masha,S,57.73,0.61,0.15,Fighter Tank
21,,Gusion,S,50.16,16.49,2.03,Assassin
22,,Kadita,S,52.90,11.06,1.18,Mage Assassin
23,,Natan,S,54.40,3.85,1.14,Marksman
24,,Lolita,S,56.89,0.96,0.20,Support Tank
25,,Suyou,S,52.04,6.32,1.92,Assassin Fighter
26,,Leomord,S,52.33,10.80,1.15,Fighter
27,,Sun,S,51.70,8.98,1.48,Fighter
28,,Minotaur,S,53.80,4.69,0.64,Tank Support
29,,Harley,S,52.59,3.50,1.30,Assassin Mage
30,,Gord,S,54.51,0.24,0.67,Mage
31,,Aamon,A,51.21,11.89,0.79,Assassin
32,,Khufra,A,54.08,1.21,0.37,Tank
33,,Valir,A,52.73,1.43,0.94,Mage
34,,Silvanna,A,52.33,1.05,0.93,Fighter
35,,Miya,A,51.22,1.63,1.39,Marksman
36,,Benedetta,A,52.40,1.59,0.77,Assassin Fighter
37,,Khaleed,A,52.96,0.57,0.46,Fighter
38,,Obsidia,A,51.75,2.20,0.85,Marksman
39,,Ruby,A,52.34,0.42,0.73,Fighter
40,,Badang,A,51.16,1.82,1.10,Fighter
41,,Moskov,A,51.12,0.27,1.25,Marksman
42,,Clint,A,51.53,0.74,0.94,Marksman
43,,Angela,A,48.18,9.04,1.74,Support
44,,Irithel,A,52.50,0.15,0.47,Marksman
45,,Vexana,A,49.67,0.80,1.70,Mage
46,,Yve,A,52.97,0.09,0.17,Mage
47,,Phoveus,A,51.43,1.82,0.72,Fighter
48,,Yu Zhong,A,50.38,3.00,1.10,Fighter
49,,Brody,A,51.64,0.42,0.72,Marksman
50,,Natalia,A,52.09,1.62,0.27,Assassin
51,,Melissa,A,51.79,0.37,0.48,Marksman
52,,Cyclops,A,51.11,0.25,0.79,Mage
53,,Akai,A,51.20,1.82,0.59,Tank
54,,Kagura,A,50.78,0.96,0.86,Mage
55,,Hanzo,A,50.29,8.18,0.42,Assassin
56,,Odette,A,51.20,0.26,0.71,Mage
57,,Grock,A,48.58,10.40,1.00,Tank Fighter
58,,Uranus,A,51.52,0.53,0.52,Tank
59,,Carmilla,A,51.22,0.55,0.63,Support Tank
60,,Saber,A,49.88,7.52,0.56,Assassin
61,,Julian,A,50.21,0.99,0.92,Fighter Mage
62,,Hayabusa,A,49.04,4.14,1.17,Assassin
63,,Faramis,A,51.66,0.79,0.15,Support Mage
64,,Claude,A,49.45,0.48,1.16,Marksman
65,,Nolan,A,50.97,0.27,0.43,Assassin
66,,Zhask,A,51.35,0.10,0.26,Mage
67,,Rafaela,A,51.26,0.77,0.24,Support
68,,Atlas,B,50.28,1.05,0.56,Tank
69,,Tigreal,B,45.64,6.12,2.23,Tank
70,,Lapu-Lapu,B,49.52,0.71,0.85,Fighter
71,,Terizla,B,50.40,0.15,0.46,Fighter
72,,Thamuz,B,49.19,1.68,0.87,Fighter
73,,Popol and Kupa,B,50.86,0.09,0.22,Marksman
74,,Ixia,B,48.98,2.94,0.84,Marksman
75,,Xavier,B,49.85,0.11,0.66,Mage
76,,Alucard,B,49.86,0.42,0.61,Fighter Assassin
77,,Argus,B,50.59,0.26,0.25,Fighter
78,,Joy,B,50.04,1.09,0.43,Assassin
79,,Kimmy,B,48.71,0.84,1.08,Marksman Mage
80,,Lunox,B,50.03,0.29,0.49,Mage
81,,Baxia,B,50.62,0.24,0.16,Tank
82,,Arlott,B,49.57,0.72,0.60,Fighter Assassin
83,,Belerick,B,48.56,2.83,0.87,Tank
84,,Edith,B,50.40,0.07,0.20,Tank Marksman
85,,X.Borg,B,48.57,3.65,0.71,Fighter
86,,Vale,B,49.74,0.07,0.40,Mage
87,,Lylia,B,48.57,0.59,0.88,Mage
88,,Eudora,B,49.22,0.92,0.54,Mage
89,,Cecilion,B,49.00,0.10,0.67,Mage
90,,Beatrix,B,48.49,0.24,0.84,Marksman
91,,Selena,B,48.49,0.63,0.80,Assassin Mage
92,,Lesley,B,46.64,3.50,1.40,Marksman Assassin
