rank,lane,hero,tier,win_rate,ban_rate,pick_rate,roles
1.0,,Gloo,SS,54.31,91.75,0.58,Tank
2.0,,Sora,SS,52.6,86.09,1.12,Fighter Assassin
3.0,,Freya,SS,51.82,71.32,1.27,Fighter
4.0,,Marcel,SS,48.47,80.18,0.43,Support
5.0,,Guinevere,SS,52.02,49.77,1.57,Fighter
6.0,,Estes,S,54.76,27.3,0.86,Support
7.0,,Helcurt,S,51.44,42.15,0.79,Assassin
8.0,,Fredrinn,S,52.84,30.21,1.07,Fighter Tank
9.0,,Yi Sun-shin,S,50.03,31.93,2.15,Assassin Marksman
10.0,,Zhuxin,S,53.01,29.98,0.82,Mage
11.0,,Hanabi,S,53.09,8.05,2.74,Marksman
12.0,,Floryn,S,54.25,17.48,1.29,Support
13.0,,Karrie,S,52.0,25.21,1.63,Marksman
14.0,,Minsitthar,S,52.13,29.26,1.01,Fighter
15.0,,Hilda,S,52.68,26.27,1.0,Fighter Tank
16.0,,Zetian,S,51.72,16.73,2.02,Mage
17.0,,Kaja,S,56.76,7.24,0.44,Support Fighter
18.0,,Alice,S,51.02,28.62,1.07,Mage Tank
19.0,,Diggie,S,55.71,12.92,0.25,Support
20.0,,Masha,S,57.73,0.61,0.15,Fighter Tank
21.0,,Gusion,S,50.16,16.49,2.03,Assassin
22.0,,Kadita,S,52.9,11.06,1.18,Mage Assassin
23.0,,Natan,S,54.4,3.85,1.14,Marksman
24.0,,Lolita,S,56.89,0.96,0.2,Support Tank
25.0,,Suyou,S,52.04,6.32,1.92,Assassin Fighter
26.0,,Leomord,S,52.33,10.8,1.15,Fighter
27.0,,Sun,S,51.7,8.98,1.48,Fighter
28.0,,Minotaur,S,53.8,4.69,0.64,Tank Support
29.0,,Harley,S,52.59,3.5,1.3,Assassin Mage
30.0,,Gord,S,54.51,0.24,0.67,Mage
31.0,,Aamon,A,51.21,11.89,0.79,Assassin
32.0,,Khufra,A,54.08,1.21,0.37,Tank
33.0,,Valir,A,52.73,1.43,0.94,Mage
34.0,,Silvanna,A,52.33,1.05,0.93,Fighter
35.0,,Miya,A,51.22,1.63,1.39,Marksman
36.0,,Benedetta,A,52.4,1.59,0.77,Assassin Fighter
37.0,,Khaleed,A,52.96,0.57,0.46,Fighter
38.0,,Obsidia,A,51.75,2.2,0.85,Marksman
39.0,,Ruby,A,52.34,0.42,0.73,Fighter
40.0,,Badang,A,51.16,1.82,1.1,Fighter
41.0,,Moskov,A,51.12,0.27,1.25,Marksman
42.0,,Clint,A,51.53,0.74,0.94,Marksman
43.0,,Angela,A,48.18,9.04,1.74,Support
44.0,,Irithel,A,52.5,0.15,0.47,Marksman
45.0,,Vexana,A,49.67,0.8,1.7,Mage
46.0,,Yve,A,52.97,0.09,0.17,Mage
47.0,,Phoveus,A,51.43,1.82,0.72,Fighter
48.0,,Yu Zhong,A,50.38,3.0,1.1,Fighter
49.0,,Brody,A,51.64,0.42,0.72,Marksman
50.0,,Natalia,A,52.09,1.62,0.27,Assassin
51.0,,Melissa,A,51.79,0.37,0.48,Marksman
52.0,,Cyclops,A,51.11,0.25,0.79,Mage
53.0,,Akai,A,51.2,1.82,0.59,Tank
54.0,,Kagura,A,50.78,0.96,0.86,Mage
55.0,,Hanzo,A,50.29,8.18,0.42,Assassin
56.0,,Odette,A,51.2,0.26,0.71,Mage
57.0,,Grock,A,48.58,10.4,1.0,Tank Fighter
58.0,,Uranus,A,51.52,0.53,0.52,Tank
59.0,,Carmilla,A,51.22,0.55,0.63,Support Tank
60.0,,Saber,A,49.88,7.52,0.56,Assassin
61.0,,Julian,A,50.21,0.99,0.92,Fighter Mage
62.0,,Hayabusa,A,49.04,4.14,1.17,Assassin
63.0,,Faramis,A,51.66,0.79,0.15,Support Mage
64.0,,Claude,A,49.45,0.48,1.16,Marksman
65.0,,Nolan,A,50.97,0.27,0.43,Assassin
66.0,,Zhask,A,51.35,0.1,0.26,Mage
67.0,,Rafaela,A,51.26,0.77,0.24,Support
68.0,,Atlas,B,50.28,1.05,0.56,Tank
69.0,,Tigreal,B,45.64,6.12,2.23,Tank
70.0,,Lapu-Lapu,B,49.52,0.71,0.85,Fighter
